tank,.epred,.lower,.upper,.width,.point,.interval
1,-1.8645927210256823,-2.709988698909783,-1.2517737580561128,0.95,median,qi
2,-1.2866158767399702,-1.6310334734667866,-0.9307328043299574,0.95,median,qi
3,-1.2890269639491259,-1.3769701372015377,-1.2044009129344908,0.95,median,qi
4,-1.5056610564867103,-1.6154343713257777,-1.396431091366394,0.95,median,qi
5,-1.5529603517511308,-1.6411839686717318,-1.4621565810175263,0.95,median,qi
6,-1.8792882247826201,-2.5443186914349694,-1.2750961466135724,0.95,median,qi
7,-1.8037308620256054,-2.13672705281001,-1.5192396478530343,0.95,median,qi
8,-1.8106652696409329,-2.762930025487308,-1.122728763782985,0.95,median,qi
9,-1.229102945225682,-1.3046273532175952,-1.1565106880657106,0.95,median,qi
10,-1.9659217740860837,-2.525326040759787,-1.5769027895559846,0.95,median,qi
11,-2.51125270854667,-3.4208555208608686,-1.8131781806721456,0.95,median,qi
12,-1.6596328172353618,-2.55432209224225,-0.9417421679600003,0.95,median,qi
13,-1.7868866397066572,-2.1605624040934557,-1.4409659778665143,0.95,median,qi
14,-1.1984318802303364,-1.3026815199562651,-1.0997647380555837,0.95,median,qi
15,-1.527864328342849,-1.970311969576713,-1.0653818345609054,0.95,median,qi
16,-1.5366992399077661,-1.6333962454112383,-1.4545182706865105,0.95,median,qi
17,-1.7316145062551398,-1.8751796013197417,-1.6083158958430657,0.95,median,qi
18,-1.8333243593689357,-2.555324814756716,-1.23799296353301,0.95,median,qi
19,-1.4475845773686,-1.5282112501242107,-1.3725433502026065,0.95,median,qi
20,-1.392926269187677,-1.4614173166024378,-1.3255644896436136,0.95,median,qi
21,-1.2963030677964542,-1.3835157795609905,-1.2176423507393834,0.95,median,qi
22,-1.4730754044223198,-1.5643322193838771,-1.384515319076438,0.95,median,qi
23,-1.4790852397568592,-1.5776082586607836,-1.3846804453820014,0.95,median,qi
24,-1.745675142394235,-1.8663477320720574,-1.6273954183697659,0.95,median,qi
