| tank| b_com_fpmete| b_com_ppmete|
|----:|------------:|------------:|
|    1|       0.3562|       0.5560|
|    2|       0.6440|       0.8513|
|    3|       0.7349|       0.7063|
|    4|       0.7521|       0.6942|
|    5|       0.9746|       0.8301|
|    6|       0.5951|       0.9527|
|    7|       0.9018|       0.8686|
|    8|       0.6771|       0.8424|
|    9|       0.5779|       0.6895|
|   10|       0.4751|       0.6422|
|   11|       0.8916|       1.0089|
|   12|       0.8634|       1.2293|
|   13|       1.1168|       1.0865|
|   14|       0.6032|       0.7121|
|   15|       0.6539|       0.8736|
|   16|       1.0140|       0.9321|
|   17|       0.6541|       0.7729|
|   18|       0.8064|       1.3578|
|   19|       0.8511|       0.7846|
|   20|       0.7709|       0.7634|
|   21|       0.7058|       0.8128|
|   22|       0.9811|       0.8709|
|   23|       0.7666|       0.8629|
|   24|       0.9112|       0.8941|
