date,tank,temperature (°C),notes
17/05/2023,10,24.9,
17/05/2023,11,18.5,
17/05/2023,12,24.8,
17/05/2023,13,18.7,
17/05/2023,14,18.8,
17/05/2023,15,25,
17/05/2023,16,18.8,
17/05/2023,17,24.9,
17/05/2023,18,25.8,
17/05/2023,19,25.6,
17/05/2023,20,18.1,
17/05/2023,21,24.8,
17/05/2023,22,18.4,
17/05/2023,23,25.9,
17/05/2023,24,18.1,
18/05/2023,1,25.5,
18/05/2023,2,21,
18/05/2023,3,25.4,
18/05/2023,4,28.5,
18/05/2023,5,21,
18/05/2023,6,21.2,
18/05/2023,7,21,
18/05/2023,8,20.9,
18/05/2023,9,25.8,
18/05/2023,10,25.7,
18/05/2023,11,21.2,
18/05/2023,12,25.2,
18/05/2023,13,21.3,
18/05/2023,14,21.5,
18/05/2023,15,25.6,
18/05/2023,16,21.2,
18/05/2023,17,25.7,
18/05/2023,18,24.9,
18/05/2023,19,26.8,
18/05/2023,20,21,
18/05/2023,21,26.5,
18/05/2023,22,22.5,
18/05/2023,23,26.9,
18/05/2023,24,20.9,
19/05/2023,1,20.6,
19/05/2023,2,14,
19/05/2023,3,20.7,
19/05/2023,4,21,
19/05/2023,5,14.1,
19/05/2023,6,14.4,
19/05/2023,7,14.7,
19/05/2023,8,14.7,
19/05/2023,9,21.1,
19/05/2023,10,21,
19/05/2023,11,14.2,
19/05/2023,12,21.5,
19/05/2023,13,14.5,
19/05/2023,14,14.6,
19/05/2023,15,21.8,
19/05/2023,16,14.6,
19/05/2023,17,20.5,
19/05/2023,18,20.3,
19/05/2023,19,21.3,
19/05/2023,20,14.2,
19/05/2023,21,20.3,
19/05/2023,22,13.7,
19/05/2023,23,20.8,
19/05/2023,24,13.8,
20/05/2023,1,25.4,
20/05/2023,2,16.8,
20/05/2023,3,25,
20/05/2023,4,25.2,
20/05/2023,5,16.8,
20/05/2023,6,17.4,
20/05/2023,7,16.5,
20/05/2023,8,16.8,
20/05/2023,9,24.5,
20/05/2023,10,25.8,
20/05/2023,11,17,
20/05/2023,12,25.6,
20/05/2023,13,17.2,
20/05/2023,14,17.6,
20/05/2023,15,26.1,
20/05/2023,16,17,
20/05/2023,17,24.8,
20/05/2023,18,24.7,
20/05/2023,19,26.5,
20/05/2023,20,16.7,
20/05/2023,21,25.2,
20/05/2023,22,16.8,
20/05/2023,23,25.7,
20/05/2023,24,17,
21/05/2023,1,25.1,
21/05/2023,2,18.1,
21/05/2023,3,24.2,
21/05/2023,4,24.8,
21/05/2023,5,18.3,
21/05/2023,6,18.6,
21/05/2023,7,18.4,
21/05/2023,8,18.7,
21/05/2023,9,25.7,
21/05/2023,10,25.5,
21/05/2023,11,18.3,
21/05/2023,12,25,
21/05/2023,13,18.7,
21/05/2023,14,18.1,
21/05/2023,15,25.5,
21/05/2023,16,18.5,
21/05/2023,17,25,
21/05/2023,18,25,
21/05/2023,19,26,
21/05/2023,20,18.2,
21/05/2023,21,25.3,
21/05/2023,22,18.5,
21/05/2023,23,25.4,
21/05/2023,24,17.8,
22/05/2023,1,29.1,
22/05/2023,2,26.1,
22/05/2023,3,29.1,
22/05/2023,4,29.4,
22/05/2023,5,26.4,
22/05/2023,6,26.7,
22/05/2023,7,25.8,
22/05/2023,8,24.3,
22/05/2023,9,29.4,
22/05/2023,10,29.3,
22/05/2023,11,26.2,
22/05/2023,12,29.3,
22/05/2023,13,24.3,
22/05/2023,14,25.8,
22/05/2023,15,29.3,
22/05/2023,16,29.1,
22/05/2023,17,29.1,
22/05/2023,18,26.1,
22/05/2023,19,29.4,
22/05/2023,20,26.1,
22/05/2023,21,29.9,
22/05/2023,22,26,
22/05/2023,23,29.2,
22/05/2023,24,25.7,
23/05/2023,1,25.9,
23/05/2023,2,21.2,
23/05/2023,3,25.1,
23/05/2023,4,25.6,
23/05/2023,5,21.2,
23/05/2023,6,21.6,
23/05/2023,7,21.5,
23/05/2023,8,21.8,
23/05/2023,9,27,
23/05/2023,10,25.9,
23/05/2023,11,21.5,
23/05/2023,12,26,
23/05/2023,13,21.6,
23/05/2023,14,21.5,
23/05/2023,15,26.5,
23/05/2023,16,21.6,
23/05/2023,17,25.6,
23/05/2023,18,26.5,
23/05/2023,19,26.5,
23/05/2023,20,21.4,
23/05/2023,21,26.6,
23/05/2023,22,20.9,water pump not working
23/05/2023,23,23,
23/05/2023,24,21,
24/05/2023,1,23.8,
24/05/2023,2,20.7,
24/05/2023,3,24,
24/05/2023,4,24.6,
24/05/2023,5,20.4,
24/05/2023,6,20.7,
24/05/2023,7,21.3,
24/05/2023,8,21.2,
24/05/2023,9,27.6,
24/05/2023,10,25.4,
24/05/2023,11,21.4,
24/05/2023,12,24.9,
24/05/2023,13,21.1,
24/05/2023,14,20.9,
24/05/2023,15,25.5,
24/05/2023,16,21.2,
24/05/2023,17,24.8,
24/05/2023,18,25.8,
24/05/2023,19,26.1,
24/05/2023,20,21.1,
24/05/2023,21,25.3,
24/05/2023,22,20.3,
24/05/2023,23,26,
24/05/2023,24,20.6,
25/05/2023,1,22.7,Temp taking while new water was being added
25/05/2023,2,22.8,
25/05/2023,3,25.6,
25/05/2023,4,25.9,
25/05/2023,5,22.6,
25/05/2023,6,23.2,
25/05/2023,7,23.3,
25/05/2023,8,23.2,
25/05/2023,9,27.7,
25/05/2023,10,26.3,
25/05/2023,11,23.2,
25/05/2023,12,25.9,
25/05/2023,13,23,
25/05/2023,14,23,
25/05/2023,15,26.8,
25/05/2023,16,23.1,
25/05/2023,17,26,
25/05/2023,18,27.2,
25/05/2023,19,27,
25/05/2023,20,23.2,
25/05/2023,21,27,
25/05/2023,22,22.8,
25/05/2023,23,24.9,
25/05/2023,24,22.8,
26/05/2023,1,22.7,
26/05/2023,2,19.8,
26/05/2023,3,22.8,
26/05/2023,4,23.7,
26/05/2023,5,20,
26/05/2023,6,19.4,
26/05/2023,7,20.7,
26/05/2023,8,20.3,
26/05/2023,9,26.3,
26/05/2023,10,24.8,
26/05/2023,11,20.5,
26/05/2023,12,24.5,
26/05/2023,13,19.8,
26/05/2023,14,19.6,
26/05/2023,15,24.9,
26/05/2023,16,20.2,
26/05/2023,17,23.8,
26/05/2023,18,25.4,
26/05/2023,19,25.8,
26/05/2023,20,20.3,
26/05/2023,21,23.7,
26/05/2023,22,19.6,
26/05/2023,23,19.8,
26/05/2023,24,19,
27/05/2023,1,24.3,
27/05/2023,2,20.7,
27/05/2023,3,24.7,
27/05/2023,4,23.1,
27/05/2023,5,20.9,
27/05/2023,6,21.2,
27/05/2023,7,21.3,
27/05/2023,8,21.1,
27/05/2023,9,26.6,
27/05/2023,10,26.1,
27/05/2023,11,20.9,
27/05/2023,12,25.5,
27/05/2023,13,20.4,
27/05/2023,14,20.5,
27/05/2023,15,26.2,
27/05/2023,16,20.9,
27/05/2023,17,25.1,
27/05/2023,18,25.9,
27/05/2023,19,25.9,
27/05/2023,20,20.9,
27/05/2023,21,25.6,
27/05/2023,22,20.4,
27/05/2023,23,20.8,
27/05/2023,24,20.1,
28/05/2023,1,23,
28/05/2023,2,19.1,
28/05/2023,3,22.8,
28/05/2023,4,21.4,
28/05/2023,5,19.3,
28/05/2023,6,20,
28/05/2023,7,17.8,
28/05/2023,8,19.2,
28/05/2023,9,24.6,
28/05/2023,10,25.1,
28/05/2023,11,19.6,
28/05/2023,12,24.7,
28/05/2023,13,18.9,
28/05/2023,14,19.1,
